"","Category","Term","Count","%","PValue","Genes","List Total","Pop Hits","Pop Total","Fold Enrichment","Bonferroni","Benjamini","FDR","Overlap"
"1","GOTERM_BP_FAT","GO:0007049~cell cycle","164","16.97722567","7.51E-30","ZWILCH, HJURP, DIXDC1, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, HMCN1, SOX9, SKP2, SOX4, LIG1, PRKCE, NSMCE2, CIRBP, VRK1, SOX11, ESCO2, SFRP1, MELK, CCNE1, FANCD2, ZFYVE19, TXNIP, FAM64A, DNA2, KIF20B, EZR, MAD1L1, CDCA2, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, BCL2L11, RACGAP1, EIF4EBP1, CEP72, CLSPN, ECT2, MYH10, EVI5, PLK4, AFAP1L2, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, CDK6, NASP, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, MCM7, NCAPG2, CEP164, CETN3, CHD3, PTPRK, BRCA1, KIF11, HMGB1, LMNB1, CKS1B, CHAF1B, SEPT6, MIS18BP1, CASP3, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, PARD3B, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, RBL1, ESPL1, KIFC1, INCENP, MCM3, BIRC5, MCM4, MCM5, KIF2C, FAM32A, MCM6, ARHGEF2, MCM2, SRC, UHRF1, HDAC8, SLFN9, THBS1, GNAI1, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, RRM1, TCF7L1, SEPT11, NPM1, ATAD5, SPAG5, FEM1B, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25","801","1440","17911","2.546646553","4.99E-26","4.99E-26","4.62E-26","No"
"2","GOTERM_BP_FAT","GO:0051301~cell division","90","9.316770186","1.28E-26","TOP2A, ZWILCH, NCAPG2, CEP164, CETN3, DOCK7, DIXDC1, BUB1B, KIF11, SMC4, IGF1R, SMC2, CKS1B, SEPT6, CCND2, CCND1, PTTG1, MIS18BP1, MDK, MYC, CFL1, STMN1, NUSAP1, HMCN1, CEP55, SOX5, HELLS, LIG1, PRKCE, NSMCE2, KIF23, VRK1, CIT, PARD3B, CCNA2, ASPM, PSRC1, KIFC1, CCNE1, INCENP, ZFYVE19, TXNIP, BIRC5, FAM64A, MCM5, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, PTN, KLHL13, NSL1, AURKB, THBS4, GNAI1, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, ECT2, MYH10, EVI5, E2F7, E2F8, CENPT, SEPT11, SPAG5, UBE2C, IGF2, VEGFC, DSTN, CDC7, ANLN, TPX2, CENPE, VANGL2, CDK6, APITD1, PRC1, CDK2, CDK1, CNTROB, CDK14, SPC24, SPC25, MAD2L1","801","554","17911","3.632620776","8.50E-23","4.25E-23","3.94E-23","No"
"3","GOTERM_BP_FAT","GO:0000278~mitotic cell cycle","107","11.07660455","3.72E-25","ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, DNA2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CLSPN, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, KIF11, HMGB1, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, SLFN9, RNF2, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, RRM1, TCF7L1, ATAD5, SPAG5, CENPE, APITD1, CCDC8, TACC3, SPRY2, SPC24, MAD2L1, SPC25","801","787","17911","3.040159458","2.47E-21","8.04E-22","7.45E-22","No"
"4","GOTERM_BP_FAT","GO:0022402~cell cycle process","131","13.5610766","4.84E-25","ZWILCH, BUB1B, MKI67, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, TUBB5, CCND2, CCND1, PTTG1, MYC, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, PRKCE, NSMCE2, CIRBP, VRK1, SOX11, CCNE1, FANCD2, ZFYVE19, FAM64A, DNA2, KIF20B, EZR, MAD1L1, CDCA2, CDCA3, GATA6, CDCA8, KLHL13, NCAPH, ZFP36L1, BRIP1, DSN1, RACGAP1, EIF4EBP1, CEP72, CLSPN, ECT2, MYH10, PLK4, STIL, UBE2C, PLK2, IGF2, DSTN, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, INTS7, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, CHD3, BRCA1, KIF11, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, YWHAH, TCF19, KLF11, HELLS, H2AFX, KIF23, KIF22, CIT, CCNA2, ASPM, SFPQ, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, HDAC8, SLFN9, THBS1, NSL1, AURKB, AURKA, E2F1, E2F7, E2F8, CENPT, TCF7L2, TCF7L1, NPM1, ATAD5, SPAG5, FEM1B, CENPE, APITD1, RAD51, PRC1, CCDC8, TACC3, SPRY2, TRIP13, SPC24, MAD2L1, SPC25","801","1109","17911","2.64135678","3.21E-21","8.04E-22","7.45E-22","No"
"5","GOTERM_BP_FAT","GO:1903047~mitotic cell cycle process","99","10.2484472","1.85E-24","ZWILCH, BUB1B, SMC4, IGF1R, SMC2, EPS8, D7ERTD443E, CCND2, CCND1, PTTG1, INSC, CFL1, CHEK1, STMN1, NUSAP1, SKP2, SOX4, LIG1, NSMCE2, VRK1, CCNE1, FAM64A, DNA2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NCAPH, ZFP36L1, DSN1, RACGAP1, EIF4EBP1, CLSPN, MYH10, STIL, UBE2C, PLK2, IGF2, CDC7, BMP7, PBX1, ANLN, TPX2, ID2, CDK2, CDK1, CNTROB, CDK14, EZH2, CDKN1C, TOP2A, CDKN1B, NCAPG2, CEP164, CETN3, KIF11, LMNB1, CKS1B, MIS18BP1, CASP2, MYBL2, TOPBP1, POLE, CEP55, TCF19, KLF11, HELLS, KIF23, KIF22, CIT, CCNA2, ASPM, RAD51C, DBF4, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, KIF2C, ARHGEF2, SLFN9, NSL1, AURKB, AURKA, E2F1, E2F7, CENPT, TCF7L1, SPAG5, CENPE, APITD1, TACC3, SPRY2, SPC24, MAD2L1, SPC25","801","702","17911","3.153446013","1.23E-20","2.46E-21","2.28E-21","No"
"6","GOTERM_BP_FAT","GO:0007067~mitotic nuclear division","63","6.52173913","4.37E-17","CDKN1C, CDKN1B, ZWILCH, NCAPG2, CEP164, CETN3, BUB1B, KIF11, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, CEP55, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, PSRC1, ESPL1, KIFC1, INCENP, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, DSN1, RACGAP1, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, APITD1, CDK2, TACC3, CDK1, SPC24, SPC25, MAD2L1","801","418","17911","3.370168271","2.90E-13","4.14E-14","3.84E-14","No"
"7","GOTERM_BP_FAT","GO:0000280~nuclear division","74","7.660455487","6.27E-16","CDKN1C, TOP2A, CDKN1B, ZWILCH, NCAPG2, CEP164, CETN3, BUB1B, KIF11, MKI67, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, TOPBP1, CEP55, YWHAH, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, CCNE1, INCENP, FANCD2, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, RAD51, APITD1, CCDC8, CDK2, TACC3, CDK1, TRIP13, SPC24, SPC25, MAD2L1","801","576","17911","2.872741538","4.42E-12","5.20E-13","4.82E-13","No"
"8","GOTERM_BP_FAT","GO:0010564~regulation of cell cycle process","68","7.039337474","2.98E-15","CDKN1C, CDKN1B, BUB1B, BRCA1, KIF11, MKI67, IGF1R, LMNB1, D7ERTD443E, CCND2, CCND1, CHEK1, NUSAP1, CASP2, TOPBP1, SOX9, SOX4, YWHAH, PRKCE, NSMCE2, CIRBP, KIF23, SOX11, CIT, CCNA2, SFRP1, SFPQ, RAD51C, PSRC1, DBF4, ESPL1, KIFC1, ZFYVE19, BIRC5, KIF20B, MAD1L1, GATA6, HDAC8, SLFN9, AURKB, AURKA, ZFP36L1, RACGAP1, E2F1, CLSPN, ECT2, E2F7, E2F8, PLK4, NPM1, STIL, ATAD5, SPAG5, UBE2C, FEM1B, PLK2, IGF2, CDC7, BMP7, PBX1, TPX2, CENPE, ID2, CCDC8, TACC3, CDK1, MAD2L1, EZH2","801","516","17911","2.946771961","1.99E-11","1.98E-12","1.83E-12","No"
"9","GOTERM_BP_FAT","GO:0048285~organelle fission","74","7.660455487","2.04E-14","CDKN1C, TOP2A, CDKN1B, ZWILCH, NCAPG2, CEP164, CETN3, BUB1B, KIF11, MKI67, SMC4, IGF1R, SMC2, EPS8, PTTG1, MIS18BP1, CHEK1, NUSAP1, MYBL2, TOPBP1, CEP55, YWHAH, HELLS, NSMCE2, KIF23, VRK1, KIF22, CIT, CCNA2, ASPM, RAD51C, PSRC1, ESPL1, KIFC1, CCNE1, INCENP, FANCD2, BIRC5, FAM64A, KIF2C, ARHGEF2, KIF20B, MAD1L1, CDCA2, CDCA3, CDCA8, KLHL13, NSL1, AURKB, NCAPH, AURKA, BRIP1, DSN1, RACGAP1, CENPT, TCF7L1, STIL, SPAG5, UBE2C, IGF2, BMP7, ANLN, TPX2, CENPE, RAD51, APITD1, CCDC8, CDK2, TACC3, CDK1, TRIP13, SPC24, SPC25, MAD2L1","801","616","17911","2.68619988","1.36E-10","1.23E-11","1.14E-11","No"
"10","GOTERM_BP_FAT","GO:0051726~regulation of cell cycle","89","9.213250518","3.58E-14","CDKN1C, TOP2A, CDKN1B, ZWILCH, BUB1B, BRCA1, KIF11, HMGB1, PTPRK, MKI67, IGF1R, LMNB1, CKS1B, D7ERTD443E, CCND2, CCND1, MYC, CASP3, CHEK1, NUSAP1, CASP2, TOPBP1, SOX9, SKP2, CLIC1, SOX4, YWHAH, PRKCE, NSMCE2, CIRBP, KIF23, SOX11, CIT, CCNA2, ASPM, SFRP1, SFPQ, RAD51C, PSRC1, RBL1, DBF4, ESPL1, KIFC1, CCNE1, ZFYVE19, BIRC5, KIF20B, PRR11, MAD1L1, SRC, GATA6, HDAC8, SLFN9, THBS1, AURKB, AURKA, ZFP36L1, BCL2L11, RACGAP1, FIGNL1, E2F1, EIF4EBP1, CLSPN, ECT2, E2F7, E2F8, PLK4, TCF7L2, AFAP1L2, NPM1, STIL, ATAD5, SPAG5, UBE2C, FEM1B, PLK2, IGF2, CDC7, BMP7, PBX1, TPX2, CENPE, CDK6, ID2, CCDC8, TACC3, CDK1, MAD2L1, EZH2","801","834","17911","2.386224354","2.38E-10","1.70E-11","1.58E-11","No"
